Gestore;Tipo Impianto;Indirizzo;Potenza (W)
3lettronica Industriale S.p.A;Televisione;Via  SILVA, 36;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PIRELLI, 39;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PALATUCCI,;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PARRI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MONTE ROSA, 89;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  ANASSAGORA, 11;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PEDRONI, 40;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  RIZZARDI, 75;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MARIGNANO, 51;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Altro;Località  PARCHEGGIO ATM ;> 20 e <= 300
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  PIRELLI, 39;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  MONTE ROSA, 89;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Altro;Via  PALATUCCI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  CILEA / RIZZARDI,;> 7 e <= 20
A.T.M. - AZIENDA TRASPORTI MUNICIPALI S.p.A.;Telefonia;Via  LARGA, 12;> 20 e <= 300
A2A S.p.A.;Altro;Via  AMARI, 6;> 7 e <= 20
A2A S.p.A.;Altro;Via  PIANELLA, 10;> 7 e <= 20
A2A S.p.A.;Altro;Via  PONTE NUOVO, 100;> 7 e <= 20
A2A S.p.A.;Altro;Corso  DI PORTA VITTORIA, 4;> 7 e <= 20
A2A S.p.A.;Altro;Piazza  TRENTO, 13;> 7 e <= 20
Assoc. Culturale RADIO ONDA D'URTO;Radiofonia;Via  SAPONARO, 32;> 1000
Assoc. Culturale RADIO ONDA D'URTO;Ponte;Via  LEONCAVALLO, 14;<= 7
Assoc. RADIO MARIA;Radiofonia;Via  SAN GALDINO, 5;> 1000
Assoc. RADIO MARIA;Ponte;Via  SAN GALDINO, 5;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  FARA, 41;> 20 e <= 300
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  FARA, 41;> 20 e <= 300
CENTRO DI PRODUZIONE S.p.A.;Ponte;Sito  ORTOMERCATO,;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Sito  ORTOMERCATO,;<= 7
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  POPOLI UNITI, 14;> 7 e <= 20
CENTRO DI PRODUZIONE S.p.A.;Ponte;Via  POPOLI UNITI, 14;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Piazza  CORDUSIO - VIA BROLETTO;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  CORDUSIO,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  VELASCA, 5;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Foro  BONAPARTE,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VENEZIA, 46;<= 7
CommsCon Italia S.r.l.;Microcella;Via  Zubiani Ausonio,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  SAN GOTTARDO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  FIORI CHIARI,;> 7 e <= 20
CommsCon Italia S.r.l.;Microcella;Via  PONTE VETERO,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  BUENOS AIRES,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  VERCELLI,;<= 7
CommsCon Italia S.r.l.;Microcella;Piazza  SIENA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TORINO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TORINO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PELLEGRINO ROSSI,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  SETTEMBRINI,;<= 7
CommsCon Italia S.r.l.;Microcella;Largo  PORTO DI CLASSE,;<= 7
CommsCon Italia S.r.l.;Microcella;Corso  DI PORTA TICINESE,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  PERUSSIA,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  TRENNO,;<= 7
CommsCon Italia S.r.l.;Microcella;Via  QUARENGHI,;<= 7
